iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
6500,1.0066147107928334,1.0084412127878533,1.008351852791145,1.045393839224253,1.114148182747442,1.0078977477395752,1.001475294829234,1.0005679589314618,1.0001023424729887,1.0007143207425775,1.0002613031441583,1.0000054717220028,1.0000396648149157
6750,1.0057422337556343,1.0076079738512644,1.0076060066978967,1.051388719419499,1.1055713034512373,1.0075471657944848,1.0014402846962567,1.0005580563516667,1.0000916566327716,1.0006039188072045,1.0001803363943707,1.0000013262892917,1.0000364268007476
7000,1.0050859085306203,1.0078965167355374,1.0077807174556572,1.0574162322855833,1.0991849179513153,1.007117653825191,1.0014395755855738,1.0005944482945859,1.0000860142169903,1.0004245063350587,1.0002322937666843,0.9999951504095526,1.000022461953847
7250,1.0067016774863458,1.0086573981123304,1.0084039371307758,1.0585690157723338,1.0858821224549047,1.0087118510045543,1.001563396816114,1.0005887732039906,1.0000902769028803,1.0005948336602906,1.0003452547220812,1.0000023735443375,1.0000151780493336
7500,1.0065269657587257,1.0083793057980455,1.008111885730775,1.0624784808814276,1.0702753617287672,1.0087859265249317,1.0013746217509254,1.0005920269269177,1.000087760187064,1.0005065804044933,1.0002351914761267,0.9999964055913181,1.0000194981058983
7750,1.006409160228058,1.0070194065352323,1.0068880779457474,1.0677305471498455,1.0597548910316275,1.00893966122812,1.0012466921063619,1.000567933673151,1.0000680118829346,1.000526389231373,1.0002244959039417,0.9999880788031938,1.0000132383588414
8000,1.0060078788647442,1.005525190435728,1.0052980507631206,1.0667475653289658,1.0534190736854834,1.0072796121979561,1.0013475142824098,1.000537758192129,1.000038710131486,1.0004688430166537,1.00032205552271,1.0000001793226787,1.0000136836897928
8250,1.0065365849468697,1.0054578723680592,1.005192378803068,1.0610597869884992,1.0510401189069791,1.0072055537958167,1.0013523730815035,1.0004767158028287,1.0000289455179485,1.0005262109712305,1.0004941757509707,1.0000071293048625,1.0000039697674037
8500,1.0059962718692073,1.0048937900975543,1.0047264138262706,1.0583789227844136,1.0498278360968358,1.0080066319332806,1.0012546738515757,1.0004435568238992,1.0000271638149245,1.000456500787695,1.0005317726788487,1.0000153236864269,1.000000332583426
8750,1.0057845554602918,1.004250018510641,1.004076232983428,1.0526730986210853,1.0487167403203845,1.0074158940617763,1.0011354627185696,1.0004297177329347,1.0000213460106535,1.000484587077978,1.0005731336786612,1.0000110545199974,1.0000038970082221
9000,1.0041558328881328,1.0039639781124567,1.0037666519550132,1.046646758303127,1.0483978561395813,1.0073375536223699,1.0013021866020098,1.0004576891523942,1.0000182697054656,1.000407211050868,1.0004858530164464,1.0000169506838865,1.0000106435476948
9250,1.0051607314384112,1.0045066856623595,1.0043043411803563,1.041781230518305,1.0473977180345044,1.007318404458882,1.0012864749093726,1.0004455039678914,1.000030921815669,1.000406669799452,1.0005497681115045,1.0000248244903915,1.00003337887402
9500,1.004925716226231,1.0043889961854873,1.0041042417224346,1.0373966728752662,1.045431795299536,1.0060727808083865,1.0011482842658819,1.0004050170724899,1.0000308065050738,1.0003654292184163,1.0005528433647901,1.0000236734345371,1.000029951632958
9750,1.0045631281501162,1.004105434687385,1.0038053324868332,1.035023804246187,1.0419412772095895,1.0052107033015956,1.0009817967002135,1.0004541688150292,1.0000309224519348,1.0003553991464766,1.0005535431268742,1.0000298973094623,1.000023590129398
10000,1.0041109841970226,1.0043536458203812,1.0041990255879147,1.0334653415907262,1.0400003533360798,1.0050532871123075,1.0010518235126895,1.0004389239908122,1.000038450613705,1.0003122738317445,1.0005447337663302,1.0000375517859814,1.0000218002104257
10250,1.0041450304267507,1.0042281954145857,1.0040882773445532,1.0300499239188539,1.0380329301949067,1.005122773435622,1.0010947173120979,1.000418839091226,1.000031551315037,1.0002646618746769,1.0005147036228916,1.00003407914039,1.0000194647179457
10500,1.0044922912593024,1.0045583521474322,1.0043811040240613,1.024973000567713,1.0362032495733198,1.0049351807516975,1.0010058160600517,1.000386379780496,1.000024501943865,1.0002544427929119,1.000554982972303,1.0000273954823666,1.0000195275378263
10750,1.0047695153862848,1.0049855280085918,1.004792939489821,1.0218708380494674,1.0337244820313671,1.0050266531764798,1.0008312167765265,1.000362738088834,1.0000263144733175,1.0002517564728781,1.0005755676674255,1.0000202336651296,1.0000182203856562
11000,1.0051438805196484,1.0050437521709785,1.0048803285819534,1.0205879390428758,1.0327323065952454,1.0051996466919815,1.0008726125701026,1.000335848943605,1.000028261418853,1.0002619588879074,1.0005604096965863,1.0000204624339062,1.000013233257023
11250,1.0041614525781375,1.0048477127783717,1.0046818456772801,1.0189306658268649,1.032579106487906,1.0050442776560988,1.0007963354635367,1.0003248874382602,1.0000247169371115,1.0002250752877242,1.000448198416013,1.0000132196777847,1.0000085153465996
11500,1.0040185463083429,1.0047639922261227,1.0046842134540848,1.0188318433734962,1.0320037474601529,1.0059321038371192,1.0007940492040919,1.0003256125129163,1.0000269790296152,1.000210515563243,1.000454292322437,1.0000167324831857,1.0000059450896532
11750,1.0038133936735862,1.0045077305700496,1.0044455285303513,1.019423680842242,1.0296476543836675,1.0058092533988616,1.000665597725132,1.000311501943464,1.0000224101091704,1.0002302810131638,1.0004781806850678,1.000019013112852,1.000003934865005
12000,1.0031943238192675,1.004514611702165,1.004417552510633,1.0201826677366697,1.0268287520126753,1.004925393948753,1.0006271878846358,1.0003473374844527,1.0000281327480351,1.0002294004252448,1.0004008993026976,1.0000168825914961,1.0000053359835315
12250,1.0033129490484454,1.0048168389551033,1.0046685718528316,1.0198924017337483,1.0237071075598336,1.0046919219335682,1.0005589228028993,1.000338607208428,1.0000458455472878,1.0002300291178772,1.0004430982408439,1.000011729563719,1.000006036604963
