iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
5500,1.0088981879092391,1.0111053439894158,1.0113767518300696,1.0655054724926127,1.0827353603161982,1.042709116759658,1.0051853822729673,1.000758383763357,1.0005532826701542,1.000262040567516,1.0013463586578972,1.0004303117791866,1.001748731278283,1.0012824290362503
5750,1.0101555487783882,1.010698854054254,1.0108691683643978,1.0642785169447457,1.0840789150109273,1.039674894049463,1.0046152390262069,1.0008770732952623,1.0005798770702439,1.0003042972123422,1.0015557947195202,1.0004869132112484,1.0018518143472284,1.0013816947832395
6000,1.0085535028155233,1.0102716220241978,1.0101279167637836,1.0566269952198692,1.0827625858353747,1.0364674381446966,1.003936492839054,1.0007505276804054,1.0005070241975051,1.0002763275494653,1.0013707142017991,1.0004292526862597,1.0016876198977578,1.0012001860939153
6250,1.0070495626891922,1.0083773111057095,1.0083637691977103,1.0499953369061679,1.0788369720974642,1.033686629476144,1.0036847556160635,1.000659558739853,1.0004715960407264,1.0003860311872044,1.001068675306179,1.0004356353720691,1.001328332668818,1.0009374958434512
6500,1.0063976514145536,1.0078475557437079,1.0077055280466745,1.0494019860594663,1.0763294177189167,1.0333684987964855,1.0040218800595795,1.0008137810800837,1.000563216222737,1.0004539636010514,1.0009991336437698,1.0005521729358668,1.0011529206947658,1.0009116058548144
6750,1.0065428425676952,1.007159716159866,1.007205701780074,1.0496686345453923,1.0752649704174901,1.0337577543938443,1.004092290961649,1.000821670631428,1.0006110128560064,1.0004875846796681,1.001004846324684,1.000648668545039,1.001191405905955,1.0009601371653956
7000,1.007303972494925,1.00693842641067,1.0073972515105276,1.049570598105578,1.0767153993621634,1.0379066866450255,1.0030779961340306,1.0008942277404405,1.0005892612432714,1.0005577168206954,1.001123075237084,1.0006965038653588,1.001208765964806,1.0009019502662013
7250,1.0078425081672426,1.0068663949039682,1.0075733724791787,1.0500006594690117,1.0809527112980695,1.0347939983962413,1.00258411740954,1.0007129955107443,1.0004494461909945,1.0005432038856843,1.0012263442250986,1.0005549640563083,1.001171266507521,1.0009517385663946
7500,1.0072989853486611,1.0069707196758557,1.0076293237290606,1.0471301779887916,1.0785395022199304,1.033711287331037,1.0026977627852711,1.0007563506589527,1.000510948533516,1.0006056747702092,1.001188129717838,1.000641899736822,1.001156554656102,1.000975514440712
7750,1.007031580627033,1.0066777994261509,1.0073742429331156,1.0460845903099916,1.0743986201794684,1.0309680087472188,1.0027837849623786,1.0007264591147398,1.0004792503680948,1.0006508824400229,1.001217981213642,1.000658740936916,1.0010678565245639,1.001001984291864
8000,1.0066023725276199,1.006668438195485,1.007004947229231,1.042969871420883,1.068061882952257,1.0269324573021654,1.0026544141378064,1.0008006469218127,1.0005841817310845,1.0007535288348202,1.001180473448796,1.000697277677001,1.0011097974663188,1.001127269009905
8250,1.0060666890869074,1.0073551485637593,1.0074000811782253,1.041203057690108,1.062311987528864,1.0249265373104288,1.0022772497766017,1.0008786647751675,1.0005660995302261,1.0008042493101972,1.001093861009118,1.0007818532304793,1.001091845970745,1.0010690606277903
8500,1.005939668780084,1.007352404830833,1.0074800052783697,1.0410333222940513,1.0572877246172603,1.024460745685869,1.0017289820786908,1.0008481044319881,1.0004977508147392,1.0007592072861309,1.0011106453236085,1.0007530476158977,1.000993029104219,1.0010316503436065
