iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30,omega_35
3000,1.0029473384922,1.017834368101893,1.0160157427051424,1.1404316727449355,1.2563452648587126,1.0114385518517859,1.0029091527437028,1.0005318397378924,1.000112217800386,1.000125541208877,1.0006967514932588,1.000966950135443,1.0009233134543716,1.0008246833113499,1.000881266328432
3250,1.0030460467484208,1.0173037839273174,1.0153277489319457,1.1214002640354943,1.2254560150660494,1.0139917954661966,1.0028537326606966,1.0007432221504942,1.0000621923951234,1.0001660232376535,1.0005838366563196,1.0009001704692424,1.0009569224832946,1.0007315014665918,1.0010566577457867
3500,1.00318760528571,1.0141172640526515,1.0126750401436693,1.117150298352717,1.1646485892782517,1.0193146926203183,1.002514023164729,1.0005288244207289,1.0001395675965083,1.0001457040574444,1.0005152214595632,1.000878203759817,1.0008309470146832,1.0006655628164132,1.000904158170799
3750,1.0037593843395742,1.0136186732979968,1.012895202036721,1.0997210698842608,1.117962654065926,1.026776278386527,1.002145047621621,1.0006338980791407,1.0001994487632409,1.0001787800449384,1.0008381732637952,1.0012282900434186,1.001157927740523,1.0008594125678296,1.0011366583339523
4000,1.0040922850202882,1.0102973979591674,1.0102511769809934,1.078329560511055,1.0857284852485283,1.0313029239035747,1.0021675296635424,1.0006402800433725,1.0001791850455894,1.0001828074246844,1.0008611233602456,1.0011495648351216,1.0013066992446398,1.0008516732491959,1.0012091014866564
4250,1.0035480230485943,1.0102084629726522,1.0104020847156943,1.0759334254642343,1.0691344830018636,1.0387222922071997,1.0019362044689748,1.0006513735220013,1.000195737813423,1.0001127842050286,1.0008316562718635,1.0010977049783147,1.001158275052536,1.000800674807107,1.001090352556938
4500,1.0035623158427218,1.0102700343088975,1.0096648300821094,1.0732397218052112,1.0599031963609575,1.041779538679403,1.001789679555172,1.000658933769647,1.0001599509166397,1.000093047289123,1.0008219505023854,1.0009707483925943,1.0011348252987196,1.000734936900611,1.0010032735843046
4750,1.0035097982445909,1.0103931578142011,1.0101412727818064,1.0694034210133858,1.0568549895713863,1.0432671786665813,1.0017222222567232,1.0005579385036305,1.000168007918979,1.0001615520907592,1.0006186379375437,1.000887073712075,1.0008680399461023,1.0006012513662568,1.0008034147257676
5000,1.0031753538543624,1.0102674972981391,1.0098127478164793,1.0579218716169991,1.0591511219644074,1.0369248000380589,1.0015842437902083,1.0004873999200912,1.0001976218998343,1.0001864767492714,1.0005880315038593,1.0008301860051634,1.0007468894202607,1.0005655166192582,1.0006384967740876
5250,1.0035030774954727,1.0096844798559022,1.0091867313062974,1.0482330272535816,1.060916120558746,1.033825071304649,1.0011846177853112,1.0005782791173503,1.0001862080431572,1.0001701126971732,1.0005914925460613,1.000909164130774,1.0007983738946007,1.0006366607903625,1.0007199600487382
5500,1.0034406972049834,1.008911675071301,1.0085259757851432,1.0465763189076909,1.063378410949828,1.0293752463290908,1.001007844983743,1.0004986350392395,1.0001673473354662,1.000147334653381,1.000563575575493,1.000821832069636,1.0007764431347614,1.0005874130715546,1.0006720208318907
5750,1.0036149667615684,1.0092625817715846,1.0087127033753103,1.0438428613962165,1.0650954066936218,1.0287497020729441,1.0008755638255646,1.0005496037831008,1.0001724575748003,1.00015833474572,1.0005443380383425,1.000848636298347,1.0008748155882317,1.000669886460002,1.0007295522075252
6000,1.0034611444342556,1.0092910256805245,1.0087481167487673,1.0427167560868278,1.0630072522021552,1.0274969991994498,1.0008916382696451,1.0005162191045596,1.0001342800000155,1.0001737507644353,1.000549719094275,1.0008461291738044,1.0008043925556998,1.0006472377313598,1.0007186886497161
6250,1.00335072917127,1.0092860317412737,1.0088116202811162,1.0367581872290623,1.0614840585340728,1.0281258657176504,1.0009508373100742,1.0005049879134305,1.0001665811522102,1.0001626199800893,1.0004631069155605,1.0008489314745825,1.0008327776257167,1.0006996308826648,1.0007929196097745
6500,1.0032423532790056,1.0099556140193462,1.0097743583611902,1.0365769547647967,1.0642143402772595,1.024733750343823,1.0007511374923812,1.0005490279780447,1.0001604110149347,1.0001296917553397,1.0003733978037808,1.000839675227921,1.0006847251329165,1.0006770596587768,1.000643028391118
6750,1.0029405493842378,1.009984802567712,1.0101001728659904,1.0384803186449492,1.0624731678476993,1.022696014909,1.0007721677180264,1.0005560687182966,1.000161985121241,1.0001531661766716,1.0003274599820484,1.0008041191260904,1.0006512567702206,1.0006154518403305,1.0005603316030136
7000,1.0027383269401613,1.0085685925264338,1.0086049653410836,1.0407196981988849,1.0546919193314046,1.0191694678438814,1.0007752957426395,1.0005014055054045,1.000166752833146,1.000140872266528,1.0003236165906824,1.0006816345885456,1.0005751711754713,1.0005415223231529,1.000516760313072
7250,1.0027704578977663,1.0094187217723063,1.009231816390644,1.0465411544250458,1.0473812966544847,1.0168851588232344,1.000704913478028,1.000496008872359,1.0001350383043341,1.0001171205967347,1.0003177010526008,1.0007141489598677,1.0006076913493491,1.0006079854380139,1.0005617205411481
7500,1.0027517012646678,1.0087582146255645,1.0085176259011484,1.051677159281419,1.0441645363488634,1.016959995441959,1.0005120832397025,1.0004627232758332,1.0001182075649446,1.000102800415564,1.0003606081749217,1.0006604996186377,1.0006005861835512,1.0005629965510856,1.0005211884335368
7750,1.0025826433713012,1.0089547404539292,1.0088274607815377,1.0532324157469748,1.0393214153700145,1.0150283899894446,1.0005420761280865,1.000447857306457,1.0001263379393817,1.000107453343652,1.000270616187966,1.0005736029203036,1.0005134995992284,1.000546420336694,1.0003971769618794
8000,1.0024297211188338,1.0085947469695795,1.0086707633693082,1.055850870645968,1.0373520883841716,1.0144622792448648,1.0005755427960954,1.0004130253888892,1.0001004752241613,1.0000947389388435,1.000262266654809,1.000512988013281,1.000460446957774,1.0005038408407143,1.0003589424089174
8250,1.0023124809337531,1.0082183037711465,1.0084686701594832,1.0541668757601372,1.0352239574786193,1.0134206390004814,1.0005845261709392,1.000387944649907,1.0000713409226796,1.000079768581112,1.0002387477539074,1.0004770160492225,1.0004455473167728,1.000458042662571,1.000294771822482
8500,1.0022351359659547,1.0077014841115965,1.0078086287610861,1.0523321110562591,1.0341496630780647,1.0123908948590872,1.0005909932158445,1.0003692413124066,1.000057280578026,1.0000764339908066,1.000213873207851,1.0004572341117923,1.0004248808477705,1.0004551066928682,1.000265837745894
8750,1.0021485418079026,1.0079279469550735,1.0081969851452213,1.0478357620197454,1.0365190450077217,1.0124358106136242,1.0004907337675144,1.0004004776574933,1.0000520281908083,1.0000753354547183,1.0002095693821436,1.0005095587156112,1.0004245858349519,1.000468500875118,1.0002802156815123
9000,1.001856064167235,1.0072886446431646,1.0075882467534385,1.0431238295904937,1.0374883297268869,1.0117740050801318,1.0005217685204486,1.0003317475879454,1.000036665628236,1.0000663079717822,1.000174171938917,1.0005078472873048,1.000389294392622,1.000470482381866,1.000248968245355
9250,1.0020815140304025,1.0071236916797213,1.0074698768933623,1.041538160542142,1.0366634307819027,1.0109226510296516,1.0004882734366032,1.0003453462239067,1.0000315504055175,1.0000682803017205,1.000183887832532,1.0005257641396526,1.0003957705490163,1.0004670508168825,1.0002796127202853
9500,1.0019830772480927,1.0068922925975519,1.0071744569255945,1.0404230990379086,1.0349749301904756,1.0102396189816552,1.0004109882912011,1.0003744967569492,1.0000505100348955,1.0000654570498393,1.000222657670287,1.000541171586894,1.0003978120210038,1.0004681772274167,1.0002823006815353
9750,1.002086061491981,1.0071825583135807,1.0075791444330706,1.0392355127730883,1.0360633695901886,1.0101982765113313,1.0004748641122565,1.000437316003363,1.0000520727148468,1.0000606752741006,1.00024461920432,1.000566656410001,1.000375333410695,1.0005228753573043,1.000287615293313
10000,1.0020776449622566,1.0054982058888697,1.0059318525171417,1.0388363277439827,1.037657317569925,1.0096501010510293,1.0005235211719135,1.000382662300762,1.000031266115928,1.0000430792645865,1.0002326597914692,1.0004753687059285,1.0003697784067613,1.0004794371429508,1.0002582095194006
10250,1.0020665121889754,1.0050233383869012,1.0054643346537218,1.0385441768989383,1.0409774837309127,1.0085072730020141,1.0005226461299372,1.0003532240290487,1.0000282513056962,1.0000506986138937,1.0002332482089142,1.0004814499700818,1.0003553175143507,1.0004661245621795,1.0002443550994622
