iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
10250,1.0040179000633018,1.0140671889687678,1.0140729325204694,1.072742269817606,1.061179083801473,1.012919102166394,1.0007564148643486,1.0007069031824927,1.0012393198021718,1.0002273438573348,1.0002923596649145,1.0008125122555194,1.000378851948679,1.0011264481027653
10500,1.003433971750687,1.0136962415947592,1.0137361867005728,1.0718940117699176,1.0554368784711607,1.0138632355358181,1.0006889322546155,1.0005455619038657,1.0010867973075273,1.0001894310120272,1.000248953979554,1.0006693585644244,1.0003367265369534,1.0009574518870326
10750,1.0033161314739834,1.0139503131595868,1.0139732597625832,1.0712394414220197,1.0515820295282594,1.0145973932301333,1.0005325544555619,1.0004734358888019,1.0010831252917674,1.000175661659852,1.0002277690725654,1.0006546794772933,1.0003446650226708,1.0009443205181654
11000,1.0026485477142857,1.0113668027103666,1.011408474236193,1.070457072074184,1.048343408683977,1.0137416982815195,1.0004808269173273,1.000395276530666,1.0010020443013656,1.0001354667948186,1.00017338393564,1.0006068986646277,1.0002327431674087,1.000918738344581
11250,1.002464740113101,1.0102213278244205,1.0102101641207137,1.0690682483672107,1.047136286452652,1.0121163053885147,1.0004361418182706,1.0004037340625338,1.0011004719699612,1.0001040345065655,1.0001680160060236,1.0006290266651063,1.0001811772215436,1.000892572066994
11500,1.002832664750367,1.0118417539706714,1.011971475392589,1.0686451078707029,1.047160431961729,1.0117219279802872,1.0004196955498939,1.000444476823304,1.0011789083467009,1.0000852764295036,1.0001547441768293,1.0006806027034314,1.0002128892722177,1.0009166419427329
11750,1.0029536246946882,1.0129521307029286,1.0133020576122094,1.066067555929633,1.0474795872032918,1.0120397525390534,1.000399024469088,1.0004828311229519,1.0012791900257085,1.0000768360014225,1.0001765155088782,1.0007337230392905,1.0001737791472107,1.0008867012114673
12000,1.0026189067282407,1.0109641326085563,1.0115016672580022,1.0660103614074563,1.0486205257989996,1.0123289340937347,1.0003038724389164,1.0004842373415697,1.0011974572742477,1.0000552158611622,1.0001321432426031,1.0007042007468598,1.0001595767961016,1.0008905655783915
12250,1.0020589263138366,1.0094567874648548,1.0100016845612259,1.06506935056516,1.0497381064740372,1.010986643129091,1.0002719136650686,1.000434381275011,1.001138676984125,1.00003998891617,1.0001194688918607,1.000672878313719,1.0001042697917955,1.0007393646193796
12500,1.001824034169735,1.0089316827865196,1.00937947233314,1.0630940035668588,1.0501792297639692,1.010307471119938,1.000356259501219,1.0003952475791889,1.0011170991150005,1.0000246692938484,1.000125560008213,1.000581460996379,1.0000895118666584,1.0007451928286208
