name	description	leaves
12619	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Eubacteriaceae	12608 Otu000030 Otu000208 Otu000009 Otu000020 Otu000126 Otu000042 Otu000155 Otu000005 Otu000135 Otu000080 Otu000189 12589 12593 Otu000054 12603
12621	Clostridium viride	
12970	a clade within order Clostridiales,including representatives of family Clostridiaceae, Eubacteriaceae	
13067	a clade within order Clostridiales,including representatives of family Clostridiaceae, Peptostreptococcaceae	13059 Otu000115
13085	a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	Otu000143 Otu000100
14543	a clade within order Lactobacillales,including representatives of family Streptococcaceae, Leuconostocaceae, Enterococcaceae, Lactobacillaceae	14107 14340 Otu000088
4053	a clade within genus Bifidobacterium,including representatives of species Bifidobacterium merycicum, Bifidobacterium ruminantium, Bifidobacterium adolescentis, Bifidobacterium stercoris, Bifidobacterium angulatum, Bifidobacterium catenulatum, Bifidobacterium dentium, Bifidobacterium pseudocatenulatum	Otu000058 Otu000026
11270	a clade within family Hyphomonadaceae,including representatives of genus Robiginitomaculum, Litorimonas, Hellea	
6269	a clade within phylum Bacteroidetes,including representatives of class Bacteroidia, Cytophagia	6016 6010 6021 6022 Otu000006 6065 Otu000002 6107 Otu000089 Otu000182 Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065 Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064 6185 Otu000043 Otu000082 6241 6237 Otu000059 Otu000109 Otu000057 Otu000003 Otu000034
12562	Allobaculum stercoricanis	
12618	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Eubacteriaceae	12608 Otu000030 Otu000208 Otu000009 Otu000020 Otu000126 Otu000042 Otu000155 Otu000005 Otu000135
12625	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Oscillospiraceae	Otu000138 Otu000084 Otu000094 Otu000097 Otu000075 Otu000072 Otu000180 Otu000190
12942	a clade within order Clostridiales,including representatives of family Peptostreptococcaceae, Clostridiales Family XI. Incertae Sedis	
13059	a clade within genus Peptostreptococcus,including representatives of species Peptostreptococcus anaerobius, Peptostreptococcus stomatis	
13250	Clostridium lactatifermentans	Otu000090 Otu000074
14401	a clade within order Lactobacillales,including representatives of family Leuconostocaceae, Lactobacillaceae	14107 14340
6248	a clade within order Bacteroidales,including representatives of family Prevotellaceae, Bacteroidaceae, Porphyromonadaceae	6016 6010 6021 6022 Otu000006 6065 Otu000002 6107 Otu000089 Otu000182 Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065 Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064 6185 Otu000043 Otu000082 6241 6237
12058	a clade within genus Dialister,including representatives of species Dialister invisus, Dialister succinatiphilus	12057 Otu000025
12606	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Eubacteriaceae	Otu000080 Otu000189 12589 12593 Otu000054 12603
12608	Eubacterium siraeum	
12624	Oscillibacter valericigenes	Otu000138 Otu000084 Otu000094 Otu000097 Otu000075 Otu000072
12645	a clade within genus Clostridium,including representatives of species Clostridium hungatei, Clostridium termitidis, Clostridium cellobioparum, Clostridium cellulolyticum, Clostridium papyrosolvens, Clostridium sufflavum, Clostridium josui	
13022	a clade within order Clostridiales,including representatives of family Clostridiales Family XIII. Incertae Sedis, Eubacteriaceae	
13231	a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	Otu000129 Otu000051 Otu000060 13092 13096 Otu000011 Otu000095 Otu000196 Otu000062 Otu000117 Otu000044 13110 Otu000037 13129 13140 Otu000019 Otu000045 Otu000102 13153 Otu000077 Otu000118 13181 Otu000163 Otu000071 Otu000049 13196 Otu000085 13206 Otu000086 Otu000092 Otu000130 Otu000174 Otu000066 Otu000091 13215 Otu000073 13220 Otu000162 Otu000056 13226
14107	a clade within family Leuconostocaceae,including representatives of genus Leuconostoc, Fructobacillus, Oenococcus, Weissella	
6018	a clade within family Porphyromonadaceae,including representatives of genus Odoribacter, Butyricimonas	6016 6010
6247	a clade within order Bacteroidales,including representatives of family Prevotellaceae, Bacteroidaceae, Porphyromonadaceae	6021 6022 Otu000006 6065 Otu000002 6107 Otu000089 Otu000182 Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065 Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064 6185 Otu000043 Otu000082 6241 6237
12057	Dialister succinatiphilus	
12602	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Eubacteriaceae	Otu000080 Otu000189 12589 12593 Otu000054
12616	a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Faecalibacterium, Gemmiger	Otu000030 Otu000208 Otu000009 Otu000020 Otu000126 Otu000042 Otu000155 Otu000005 Otu000135
13109	a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	Otu000129 Otu000051 Otu000060 13092 13096 Otu000011 Otu000095 Otu000196 Otu000062 Otu000117 Otu000044
13230	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Lachnospiraceae, Eubacteriaceae	13110 Otu000037 13129 13140 Otu000019 Otu000045 Otu000102 13153 Otu000077 Otu000118 13181 Otu000163 Otu000071 Otu000049 13196 Otu000085 13206 Otu000086 Otu000092 Otu000130 Otu000174 Otu000066 Otu000091 13215 Otu000073 13220 Otu000162 Otu000056 13226
8250	a clade within class Gammaproteobacteria,including representatives of order Pasteurellales, Enterobacteriales	7891 Otu000017 7977 Otu000081 Otu000063
6016	a clade within genus Odoribacter,including representatives of species Odoribacter denticanis, Odoribacter laneus	
6189	a clade within order Bacteroidales,including representatives of family Prevotellaceae, Bacteroidaceae, Porphyromonadaceae	6021 6022 Otu000006 6065 Otu000002 6107 Otu000089 Otu000182 Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065 Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064 6185
6265	a clade within genus Alistipes,including representatives of species Alistipes finegoldii, Alistipes onderdonkii, Alistipes shahii	Otu000059 Otu000109 Otu000057 Otu000003 Otu000034
12601	a clade within genus Ruminococcus,including representatives of species Ruminococcus albus, Ruminococcus flavefaciens, Ruminococcus callidus	Otu000080 Otu000189
12603	Hydrogenoanaerobacterium saccharovorans	
12612	Faecalibacterium prausnitzii	Otu000030 Otu000208 Otu000009 Otu000020
12615	a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Gemmiger	Otu000126 Otu000042 Otu000155
13093	a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	Otu000129 Otu000051 Otu000060 13092
13108	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	13096 Otu000011 Otu000095 Otu000196 Otu000062 Otu000117 Otu000044
13164	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Lachnospiraceae	13110 Otu000037 13129 13140 Otu000019 Otu000045 Otu000102 13153 Otu000077
13229	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae, Eubacteriaceae, Clostridiaceae	Otu000118 13181 Otu000163 Otu000071 Otu000049 13196 Otu000085 13206 Otu000086 Otu000092 Otu000130 Otu000174 Otu000066 Otu000091 13215 Otu000073 13220 Otu000162 Otu000056 13226
14340	a clade within family Lactobacillaceae,including representatives of genus Lactobacillus, Pediococcus	
8052	a clade within family Enterobacteriaceae,including representatives of genus Trabulsiella, Dickeya, Cedecea, Gibbsiella, Yokenella, Buttiauxella, Budvicia, Enterobacter, Leminorella, Pectobacterium, Obesumbacterium, Erwinia, Pragia, Tatumella, Escherichia, Cronobacter, Klebsiella, Shimwellia, Biostraticola, Yersinia, Citrobacter, Kluyvera, Hafnia, Leclercia, Raoultella, Salmonella, Mangrovibacter, Lonsdalea, Pantoea, Samsonia, Serratia, Brenneria, Shigella, Lelliottia, Pluralibacter, Kosakonia, Rahnella, Edwardsiella, Sodalis	7891 Otu000017 7977 Otu000081
6010	Butyricimonas synergistica	
6021	a clade within genus Barnesiella,including representatives of species Barnesiella viscericola, Barnesiella intestinihominis	
6188	a clade within order Bacteroidales,including representatives of family Prevotellaceae, Bacteroidaceae	6022 Otu000006 6065 Otu000002 6107 Otu000089 Otu000182 Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065 Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064 6185
6264	a clade within genus Alistipes,including representatives of species Alistipes finegoldii, Alistipes shahii	Otu000059 Otu000109 Otu000057
12595	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Eubacteriaceae	12589 12593 Otu000054
13091	a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	Otu000129 Otu000051 Otu000060
13092	Eubacterium ramulus	
13096	a clade within genus Pseudobutyrivibrio,including representatives of species Pseudobutyrivibrio ruminis, Pseudobutyrivibrio xylanivorans	
13107	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	Otu000011 Otu000095 Otu000196 Otu000062 Otu000117 Otu000044
13142	a clade within genus Clostridium,including representatives of species Clostridium aerotolerans, Clostridium indolis, Clostridium symbiosum, Clostridium amygdalinum, Clostridium celerecrescens, Clostridium asparagiforme, Clostridium bolteae, Clostridium methoxybenzovorans, Clostridium algidixylanolyticum, Clostridium hathewayi, Clostridium aldenense, Clostridium citroniae, Clostridium lavalense, Clostridium sphenoides, Clostridium clostridioforme, Clostridium saccharolyticum, Clostridium xylanolyticum	13110 Otu000037 13129 13140
13199	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae, Clostridiaceae	Otu000118 13181 Otu000163 Otu000071 Otu000049 13196 Otu000085
13228	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae, Eubacteriaceae, Clostridiaceae	13206 Otu000086 Otu000092 Otu000130 Otu000174 Otu000066 Otu000091 13215 Otu000073 13220 Otu000162 Otu000056 13226
6118	a clade within family Prevotellaceae,including representatives of genus Alloprevotella, Hallella, Paraprevotella, Prevotella, Xylanibacter	6022 Otu000006 6065 Otu000002 6107 Otu000089 Otu000182
6187	a clade within genus Bacteroides,including representatives of species Bacteroides cellulosilyticus, Bacteroides helcogenes, Bacteroides propionicifaciens, Bacteroides finegoldii, Bacteroides xylanisolvens, Bacteroides coprophilus, Bacteroides plebeius, Bacteroides coprocola, Bacteroides dorei, Bacteroides sartorii, Bacteroides pyogenes, Bacteroides stercoris, Bacteroides fragilis, Bacteroides thetaiotaomicron, Bacteroides uniformis, Bacteroides salyersiae, Bacteroides nordii, Bacteroides caccae, Bacteroides acidifaciens, Bacteroides eggerthii, Bacteroides paurosaccharolyticus, Bacteroides ovatus, Bacteroides barnesiae, Bacteroides faecis, Bacteroides graminisolvens, Bacteroides massiliensis, Bacteroides salanitronis, Bacteroides gallinarum, Bacteroides rodentium, Bacteroides chinchillae, Bacteroides coprosuis, Bacteroides clarus, Bacteroides fluxus, Bacteroides oleiciplenus, Bacteroides intestinalis	Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065 Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064 6185
6244	a clade within genus Parabacteroides,including representatives of species Parabacteroides gordonii, Parabacteroides merdae, Parabacteroides goldsteinii, Parabacteroides johnsonii, Parabacteroides distasonis	Otu000043 Otu000082 6241 6237
6263	Alistipes shahii	Otu000059 Otu000109
12589	Eubacterium coprostanoligenes	
12594	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae	12593 Otu000054
13106	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	Otu000011 Otu000095 Otu000196 Otu000062 Otu000117
13128	a clade within genus Clostridium,including representatives of species Clostridium aerotolerans, Clostridium indolis, Clostridium amygdalinum, Clostridium celerecrescens, Clostridium methoxybenzovorans, Clostridium algidixylanolyticum, Clostridium hathewayi, Clostridium sphenoides, Clostridium saccharolyticum, Clostridium xylanolyticum	13110 Otu000037
13141	a clade within genus Clostridium,including representatives of species Clostridium lavalense, Clostridium symbiosum, Clostridium citroniae, Clostridium aldenense, Clostridium asparagiforme, Clostridium clostridioforme, Clostridium bolteae	13129 13140
13162	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Clostridiaceae	Otu000019 Otu000045 Otu000102 13153 Otu000077
13187	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae, Clostridiaceae	Otu000118 13181
13198	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	Otu000163 Otu000071 Otu000049 13196 Otu000085
13224	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae, Clostridiaceae	13206 Otu000086 Otu000092 Otu000130 Otu000174 Otu000066 Otu000091 13215 Otu000073 13220 Otu000162 Otu000056
6114	a clade within family Prevotellaceae,including representatives of genus Alloprevotella, Hallella, Prevotella, Xylanibacter	6022 Otu000006 6065 Otu000002 6107
6181	a clade within genus Bacteroides,including representatives of species Bacteroides cellulosilyticus, Bacteroides helcogenes, Bacteroides finegoldii, Bacteroides xylanisolvens, Bacteroides coprophilus, Bacteroides plebeius, Bacteroides coprocola, Bacteroides dorei, Bacteroides sartorii, Bacteroides stercoris, Bacteroides fragilis, Bacteroides thetaiotaomicron, Bacteroides uniformis, Bacteroides salyersiae, Bacteroides nordii, Bacteroides caccae, Bacteroides acidifaciens, Bacteroides eggerthii, Bacteroides paurosaccharolyticus, Bacteroides ovatus, Bacteroides barnesiae, Bacteroides faecis, Bacteroides graminisolvens, Bacteroides massiliensis, Bacteroides salanitronis, Bacteroides gallinarum, Bacteroides rodentium, Bacteroides chinchillae, Bacteroides clarus, Bacteroides fluxus, Bacteroides oleiciplenus, Bacteroides intestinalis	Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065 Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064
6243	a clade within genus Parabacteroides,including representatives of species Parabacteroides merdae, Parabacteroides johnsonii, Parabacteroides distasonis	Otu000043 Otu000082 6241
12593	a clade within genus Clostridium,including representatives of species Clostridium sporosphaeroides, Clostridium leptum	
13110	Clostridium hathewayi	
13129	Clostridium symbiosum	
13140	a clade within genus Clostridium,including representatives of species Clostridium lavalense, Clostridium citroniae, Clostridium aldenense, Clostridium asparagiforme, Clostridium clostridioforme, Clostridium bolteae	
13160	a clade within family Lachnospiraceae,including representatives of genus Marvinbryantia, Robinsoniella, Blautia	Otu000019 Otu000045 Otu000102 13153
13192	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	Otu000163 Otu000071 Otu000049
13197	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	13196 Otu000085
13223	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Lachnospiraceae	13206 Otu000086 Otu000092 Otu000130 Otu000174 Otu000066 Otu000091 13215 Otu000073 13220
13226	Eubacterium ventriosum	
9379	a clade within family Sutterellaceae,including representatives of genus Sutterella, Parasutterella	Otu000028 Otu000047 Otu000048 Otu000024
6022	Alloprevotella tannerae	
6115	Paraprevotella clara	Otu000089 Otu000182
6161	a clade within genus Bacteroides,including representatives of species Bacteroides cellulosilyticus, Bacteroides helcogenes, Bacteroides finegoldii, Bacteroides xylanisolvens, Bacteroides stercoris, Bacteroides fragilis, Bacteroides thetaiotaomicron, Bacteroides uniformis, Bacteroides salyersiae, Bacteroides nordii, Bacteroides caccae, Bacteroides acidifaciens, Bacteroides eggerthii, Bacteroides ovatus, Bacteroides faecis, Bacteroides graminisolvens, Bacteroides gallinarum, Bacteroides rodentium, Bacteroides clarus, Bacteroides fluxus, Bacteroides oleiciplenus, Bacteroides intestinalis	Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016 Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065
6180	a clade within genus Bacteroides,including representatives of species Bacteroides sartorii, Bacteroides massiliensis, Bacteroides salanitronis, Bacteroides chinchillae, Bacteroides coprophilus, Bacteroides paurosaccharolyticus, Bacteroides plebeius, Bacteroides barnesiae, Bacteroides coprocola, Bacteroides dorei	Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124 6175 6176 6177 Otu000064
6185	a clade within genus Bacteroides,including representatives of species Bacteroides coprosuis, Bacteroides propionicifaciens	
6237	Parabacteroides gordonii	
13196	Coprococcus catus	
13211	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Lachnospiraceae	13206 Otu000086 Otu000092 Otu000130 Otu000174 Otu000066 Otu000091
6139	a clade within genus Bacteroides,including representatives of species Bacteroides cellulosilyticus, Bacteroides helcogenes, Bacteroides gallinarum, Bacteroides rodentium, Bacteroides stercoris, Bacteroides eggerthii, Bacteroides clarus, Bacteroides fluxus, Bacteroides oleiciplenus, Bacteroides uniformis, Bacteroides intestinalis	Otu000107 Otu000032 Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016
6160	a clade within genus Bacteroides,including representatives of species Bacteroides faecis, Bacteroides graminisolvens, Bacteroides acidifaciens, Bacteroides finegoldii, Bacteroides xylanisolvens, Bacteroides thetaiotaomicron, Bacteroides ovatus, Bacteroides fragilis, Bacteroides salyersiae, Bacteroides nordii, Bacteroides caccae	Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021 Otu000065
6170	a clade within genus Bacteroides,including representatives of species Bacteroides dorei, Bacteroides paurosaccharolyticus, Bacteroides sartorii, Bacteroides massiliensis, Bacteroides chinchillae	Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069 Otu000124
6179	a clade within genus Bacteroides,including representatives of species Bacteroides plebeius, Bacteroides coprophilus, Bacteroides coprocola, Bacteroides barnesiae, Bacteroides salanitronis	6175 6176 6177
6241	Parabacteroides johnsonii	
12759	a clade within genus Clostridium,including representatives of species Clostridium disporicum, Clostridium celatum	
13103	Roseburia hominis	Otu000062 Otu000117
13155	a clade within genus Blautia,including representatives of species Blautia wexlerae, [Ruminococcus] obeum, Blautia hansenii, Blautia coccoides, Blautia luti	Otu000102 13153
13210	a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	13206 Otu000086
13221	a clade within order Clostridiales,including representatives of family Lachnospiraceae, Clostridiaceae	13215 Otu000073 13220
9377	a clade within genus Sutterella,including representatives of species Sutterella wadsworthensis, Sutterella parvirubra, Sutterella stercoricanis	Otu000047 Otu000048 Otu000024
6123	a clade within genus Bacteroides,including representatives of species Bacteroides cellulosilyticus, Bacteroides intestinalis, Bacteroides oleiciplenus	Otu000107 Otu000032
6138	a clade within genus Bacteroides,including representatives of species Bacteroides helcogenes, Bacteroides gallinarum, Bacteroides rodentium, Bacteroides stercoris, Bacteroides eggerthii, Bacteroides clarus, Bacteroides fluxus, Bacteroides uniformis	Otu000010 Otu000108 Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016
6152	a clade within genus Bacteroides,including representatives of species Bacteroides faecis, Bacteroides acidifaciens, Bacteroides finegoldii, Bacteroides xylanisolvens, Bacteroides thetaiotaomicron, Bacteroides ovatus, Bacteroides caccae	Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150 Otu000021
6169	a clade within genus Bacteroides,including representatives of species Bacteroides dorei, Bacteroides sartorii, Bacteroides massiliensis, Bacteroides chinchillae	Otu000007 Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069
6175	a clade within genus Bacteroides,including representatives of species Bacteroides coprophilus, Bacteroides barnesiae, Bacteroides salanitronis	
6178	a clade within genus Bacteroides,including representatives of species Bacteroides plebeius, Bacteroides coprocola	6176 6177
13204	a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae	Otu000092 Otu000130 Otu000174 Otu000066 Otu000091
13206	Clostridium glycyrrhizinilyticum	
13217	a clade within genus Dorea,including representatives of species Dorea formicigenerans, Dorea longicatena	13215 Otu000073
13220	a clade within genus Clostridium,including representatives of species Clostridium hylemonae, Clostridium scindens	
9376	a clade within genus Sutterella,including representatives of species Sutterella parvirubra, Sutterella stercoricanis	Otu000047 Otu000048
8002	a clade within family Enterobacteriaceae,including representatives of genus Buttiauxella, Citrobacter, Raoultella, Enterobacter, Trabulsiella, Serratia, Leclercia, Lelliottia, Shigella, Salmonella, Escherichia, Kluyvera, Kosakonia, Cedecea, Klebsiella, Yokenella	7891 Otu000017 7977
6109	a clade within family Prevotellaceae,including representatives of genus Hallella, Prevotella	Otu000006 6065 Otu000002 6107
6130	a clade within genus Bacteroides,including representatives of species Bacteroides clarus, Bacteroides stercoris, Bacteroides gallinarum, Bacteroides eggerthii	Otu000010 Otu000108
6137	a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus, Bacteroides uniformis, Bacteroides helcogenes	Otu000023 Otu000099 Otu000053 Otu000004 Otu000050 Otu000016
6146	a clade within genus Bacteroides,including representatives of species Bacteroides xylanisolvens, Bacteroides ovatus, Bacteroides caccae, Bacteroides acidifaciens	Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035 Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150
6176	Bacteroides plebeius	
6177	Bacteroides coprocola	
13153	Blautia hansenii	
13181	a clade within genus Clostridium,including representatives of species Clostridium xylanovorans, Clostridium jejuense	
13203	Ruminococcus lactaris	Otu000092 Otu000130
13215	Dorea formicigenerans	
7899	a clade within family Enterobacteriaceae,including representatives of genus Escherichia, Shigella	7891 Otu000017
6135	a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus, Bacteroides uniformis	Otu000023 Otu000099 Otu000053 Otu000004
6136	Bacteroides helcogenes	Otu000050 Otu000016
6142	a clade within genus Bacteroides,including representatives of species Bacteroides caccae, Bacteroides acidifaciens	Otu000018 Otu000177 Otu000175 Otu000070 6141 Otu000035
6145	a clade within genus Bacteroides,including representatives of species Bacteroides xylanisolvens, Bacteroides ovatus	Otu000125 Otu000008 Otu000119 Otu000013 Otu000027 Otu000150
6164	Bacteroides dorei	Otu000012 Otu000014 Otu000142 Otu000001 Otu000101 Otu000134 Otu000069
7891	Shigella dysenteriae	
6072	a clade within genus Prevotella,including representatives of species Prevotella maculosa, Prevotella multiformis, Prevotella histicola, Prevotella salivae, Prevotella copri, Prevotella denticola, Prevotella albensis, Prevotella paludivivens, Prevotella falsenii, Prevotella pallens, Prevotella corporis, Prevotella dentasini, Prevotella disiens, Prevotella intermedia, Prevotella melaninogenica, Prevotella nigrescens, Prevotella oris, Prevotella oulorum, Prevotella veroralis, Prevotella aurantiaca, Prevotella fusca, Prevotella scopos	6065 Otu000002
6107	a clade within family Prevotellaceae,including representatives of genus Hallella, Prevotella	
6134	a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus	Otu000023 Otu000099
6140	Bacteroides caccae	Otu000018 Otu000177 Otu000175 Otu000070
6141	Bacteroides acidifaciens	
6144	Bacteroides ovatus	Otu000125 Otu000008 Otu000119 Otu000013
7977	a clade within family Enterobacteriaceae,including representatives of genus Buttiauxella, Citrobacter, Raoultella, Enterobacter, Serratia, Lelliottia, Escherichia, Kluyvera, Cedecea, Klebsiella, Yokenella	
6065	Prevotella denticola	
