iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
4250,1.0020176836020207,1.0096097756671476,1.0082061622746208,1.0937991771188662,1.0700433288301474,1.0177413181753672,1.0015509734298755,1.0001451689912249,1.0001576533361725,1.0002724752890484,1.0001758056332966
4500,1.0018820401845556,1.0084839336474944,1.0070007713692652,1.0812772404986837,1.0624366489061496,1.015559045383869,1.001670257568331,1.0001782153384648,1.0001507354994266,1.0002659771338154,1.0001383823249652
4750,1.0022783254629402,1.0079006525186842,1.006617907771747,1.0805797428222716,1.056220933164679,1.0152160643240682,1.0015957545658947,1.0002692236718391,1.0002443122487485,1.000301191144663,1.0001140562720925
5000,1.001896309581692,1.0072670688036698,1.0061568941251784,1.076517808620321,1.0535467480587062,1.0163047918665076,1.0014375343838071,1.0002729659730272,1.0002001117091095,1.0002536828440551,1.0001259967641007
5250,1.0015519584137098,1.0073045086333594,1.0062038570113243,1.079774670678215,1.05155059190514,1.015338008926329,1.0013901774308243,1.0002446702620045,1.000217490842958,1.0002964442212678,1.0000881003303081
5500,1.0013532717557205,1.0071774029872271,1.0059031271084606,1.0839513009652344,1.0495046582089935,1.015393044403475,1.0015791372456435,1.0002357451172657,1.0002108006639419,1.0002586910219828,1.0000796960597922
5750,1.0009578306263816,1.0074404048198833,1.006330081905337,1.0885286490115875,1.048671462995419,1.0144438317745137,1.0013445396037697,1.0001714450690453,1.0001403965350761,1.0001477063804673,1.0000969458749418
6000,1.0008698054127085,1.007672188852431,1.0066571982753005,1.0883194605078377,1.052929841173682,1.0129082467630501,1.0013135315014587,1.0001266143831105,1.0001264373981145,1.0001325094654525,1.0000861929889893
6250,1.0008920256498826,1.0055708378054034,1.004712262013746,1.0862197275708434,1.053558095418301,1.0128072249390758,1.0013112651671134,1.0001424279825177,1.0001322424170709,1.000082758410852,1.0000773858190926
6500,1.0008643510973934,1.0050564117771723,1.0043688434698488,1.0804163920050505,1.0519591399372943,1.008088198582318,1.0012503429149304,1.000124306631002,1.0001372002787334,1.0000803653442518,1.0000603477068546
6750,1.0009686541931073,1.0045406665255308,1.0038680158490165,1.072420903264922,1.0527729881016623,1.0069520583426537,1.0013391069510356,1.0001196650793334,1.000128092884644,1.0001015729709422,1.000069518519069
7000,1.001000563209834,1.0042024258775057,1.003595237207216,1.0680098745500815,1.0515679436120333,1.00669264998875,1.0013249608519736,1.0001311095806797,1.0001230092799187,1.0000974068149184,1.0000750700675565
7250,1.0009129787725037,1.0038491463706751,1.003284709048616,1.065763226305799,1.052387584038112,1.0053031855061374,1.0012533016758518,1.000111369074793,1.0000965444405145,1.0000610020767378,1.0000840737437375
7500,1.000948677611467,1.0037108923822842,1.0032805211095432,1.0597416017084917,1.0478392137847363,1.005161837373469,1.0011129397152403,1.0001490538342162,1.0001072703687062,1.0000772382922072,1.0000843441184397
7750,1.0009831139488328,1.0037113396794781,1.0033586087866244,1.0510402558374827,1.0436868999703122,1.0047502127257433,1.0010771856296166,1.0001622562546792,1.0001004042716957,1.0000853177336453,1.000091670509735
8000,1.0009783741344638,1.00417216646721,1.0037460727220135,1.0432999684914661,1.0439926135781863,1.004636971714445,1.0012150372610351,1.0001058190523073,1.000077124858046,1.000070496524176,1.0001113337377965
8250,1.0009854520034307,1.0047557411018464,1.0043405326105133,1.0367091525630525,1.042116378044515,1.00435908976039,1.0010918118418264,1.0001152576389536,1.0000973068245897,1.0000707939508693,1.0001305204521698
8500,1.001116976791121,1.0046191642007818,1.004114394718937,1.0323240923746597,1.0371927569689101,1.0041670530978322,1.0009006961430513,1.0001149493198445,1.000098755139888,1.0000475945395682,1.000100933364859
8750,1.0008819243663052,1.0049871713360656,1.0044768346185067,1.0310311289515728,1.0319051441671188,1.0041118677249647,1.0010162157872018,1.0000938476338506,1.0000797493262796,1.0000335765554345,1.0000596566811675
9000,1.0008655290560746,1.0045919845153835,1.004217535425469,1.030105426121341,1.0293114253466986,1.0031863469704978,1.0010366560129298,1.0000814487504999,1.0000756660492287,1.0000114425430058,1.0000704657442194
9250,1.0008136986634484,1.0042741008481018,1.0038186081652114,1.0294301919086115,1.0266388478192456,1.004242521116293,1.0009066259376824,1.00009230607116,1.0000689944435703,1.0000229271018743,1.0001006545527937
9500,1.0007866759250839,1.0051202379818698,1.0046450888964609,1.03199835616912,1.0264519421363143,1.0059339721115477,1.0008168761566325,1.0001043173100208,1.0000538102470629,1.0000296988310131,1.0000999475667787
9750,1.000888961887693,1.0044688970333036,1.0039939870406729,1.0317701155738022,1.0232576053812608,1.0081508759243218,1.0008808354393506,1.000121946041289,1.000059148615032,1.0000434371323719,1.0001269609253076
10000,1.0009030420703184,1.0043751522486966,1.0039782363490775,1.0304499617106575,1.020896916961272,1.0077735395588894,1.0007951825583108,1.0001313419932372,1.000051373633927,1.0000298087337365,1.0001142046210396
10250,1.0009723109960669,1.0046812855242575,1.0042665333702627,1.0297540731319696,1.0196321041992242,1.0078873069737047,1.0008524429282315,1.0001280712274596,1.0000640433055834,1.0000622378744002,1.0001469488250392
10500,1.0009797024005276,1.0046645452681058,1.004233326643174,1.0292419600161493,1.0202213016505342,1.0074268538693878,1.0008066408846823,1.0001133493612469,1.0000583512683225,1.000059041295636,1.000163757302539
10750,1.0008644389689347,1.0048855057843316,1.0044740789040987,1.0280025888543545,1.020307959426046,1.005940420152606,1.000639502246015,1.000105162385434,1.0000478232265677,1.0000613688258446,1.0001532408855198
11000,1.0010431206643888,1.0049330867764057,1.0046360605163598,1.0271693685763037,1.0177931685578725,1.0049257059975545,1.0006158015161735,1.0001122081494225,1.0000726615889446,1.0000736647305015,1.0001830301207435
11250,1.00095186799609,1.0046383833598531,1.004442805652611,1.0266384829386523,1.0155355312698173,1.0047368034540094,1.0005521661267065,1.0000939216174376,1.0000677949510899,1.0000710651345146,1.0001585551621235
11500,1.0008874802745753,1.0043570485063158,1.0041991535669212,1.0249200163526588,1.0140031063285724,1.0054047320714603,1.000619744108122,1.000078635931214,1.0000537074257807,1.0000702537824009,1.0001566459289875
11750,1.000893554771876,1.0040662317613847,1.0039510604927728,1.023602199527655,1.0127993695109416,1.0080685248676264,1.0005469725719764,1.0000801748334835,1.0000471878279649,1.0000657645518118,1.0001522370228038
12000,1.000890918253392,1.0034410651977157,1.0033761474312115,1.0237604264384794,1.013042243205,1.0091634090792425,1.000460935923901,1.0001024047346603,1.000051644720452,1.0000641720994077,1.0001431237103973
12250,1.0008889544873745,1.002893069987635,1.002961496633406,1.0242725240476471,1.0134012626868507,1.0092253435433647,1.0004720173012833,1.000109620012199,1.0000569347260146,1.0000646222523433,1.000138275276842
12500,1.001007058235753,1.0027686094666544,1.0028167078362404,1.0225069777469256,1.0136404375409316,1.0085358712976396,1.0004505596487596,1.0001261589824588,1.0000557287815557,1.0000613469982913,1.0001386009146418
12750,1.0009515537244817,1.0024787952078245,1.0024326127992829,1.0209458698003206,1.0142555527975692,1.0083407414767114,1.0004039992457483,1.000116318832527,1.0000609346061733,1.0000484762320536,1.0001354502036441
13000,1.0009564459259068,1.0022716961103937,1.0022412243490408,1.0208878896914695,1.0143625463181172,1.0079357733535803,1.0004278283210983,1.0000985960764146,1.0000666824921192,1.0000472296169391,1.000118867378985
13250,1.0010042627048017,1.0021933239286178,1.0021366805791745,1.020053745390773,1.0147967054983724,1.0074282219577178,1.0004081534871214,1.000109909925364,1.0000717980655602,1.0000587738742899,1.000115881606173
