iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
5500,1.0050898720523909,1.0118030451378417,1.010848392974999,1.0563926466781135,1.1428285763373878,1.0226708683748253,1.0006029614591103,0.9999947798954085,0.9999869250580284,1.0008616565242354,1.0002915278683988,1.0000075460470919,1.000074282964505
5750,1.0053940314139438,1.0119072538230371,1.0111905456950483,1.0501072077940887,1.137065636852772,1.0212501555698554,1.000599298771098,0.9999917935568778,0.9999907556540695,1.0009061011818636,1.00029497517893,1.0000031580549105,1.000129572259012
6000,1.0054857354660782,1.0112816048963587,1.0106018083998742,1.0507759828312113,1.118536440573034,1.0224973050496136,1.0005522107821352,0.9999981084486703,0.9999927469081035,1.0006914948592005,1.0002003036615363,1.0000040524508549,1.0000798578878194
6250,1.005523061183122,1.0123104203198572,1.0120551663401542,1.0477075483733325,1.104715761240784,1.0219781725813424,1.0004466088106658,0.9999870963871056,1.0000041839894283,1.0006540980522458,1.0000773970893355,1.0000129122826342,1.0000409381413282
6500,1.0052242016975568,1.011641400603241,1.011484227699356,1.039750851211195,1.0921440300785323,1.0201165781624775,1.0005485046039366,0.9999962165757242,1.0000034015281198,1.0007106956852412,1.0001074474392952,1.0000222953506754,1.0000489251897537
6750,1.0053636892699362,1.0122370737004114,1.0125949562244847,1.0332546934952738,1.0774176869923306,1.02007028780284,1.0003721916780084,0.9999931481829653,1.000000784179098,1.0006152784366373,1.0001579405801257,1.000013380599345,1.0000302423348286
7000,1.0075207640479547,1.0145600749240922,1.015482076888426,1.0279430364007944,1.0729951344851378,1.0217038633153468,1.000370957909256,1.0000035331805608,1.0000154448870997,1.0006894263261648,1.000176426938402,1.0000069668343574,1.0000780256032382
7250,1.0094110492331592,1.015823972833368,1.0168942579340925,1.0280107556787623,1.0736532796363867,1.0223091113892473,1.000300965711566,1.0000070498092721,1.0000354854034743,1.000699578934384,1.0002609609159367,1.0000033454193153,1.0000703660844372
7500,1.0088707403980914,1.0152254481870553,1.016205926555542,1.0299630668117714,1.075983549556779,1.019901983161634,1.0002775225970273,0.9999984427351891,1.000010890225064,1.0006140416545133,1.000249119758916,1.0000052581703918,1.0000926536464327
7750,1.0085913604500765,1.0147213696999582,1.0156022602516022,1.0322713436370112,1.0749116686913538,1.017840708500945,1.0002212569396849,0.999998950031607,1.000014842030983,1.0006198911082402,1.0001820961310772,1.000017597697429,1.000074589915143
8000,1.0076487806670227,1.0133337307775498,1.0141689154775526,1.0345611232156162,1.0714086047033107,1.0171657517541526,1.0001852034971856,1.000013379710785,1.000006170825234,1.0005375078513021,1.0001674207723585,1.0000149901294684,1.0000842432713397
8250,1.0062426708506824,1.011392028203847,1.0121366261274922,1.0360542294051318,1.0722348089012586,1.0153079478335811,1.000157379969414,1.000006809687028,0.9999966433570031,1.0004939572299767,1.0002064010534026,1.000009642574255,1.0000770854843002
8500,1.0053334281802702,1.0101249400056094,1.0108512089457329,1.036544659875951,1.0775999472806361,1.0146178560825923,1.0001235433309867,1.0000240627436485,0.999997292121725,1.000415140332463,1.000186493541784,0.9999997075319413,1.0000684660155423
8750,1.0065408462522831,1.0115204387221806,1.012428583378793,1.0350510109872295,1.0760916471276232,1.0137106440600354,1.0001492014777373,1.0000252814442148,1.0000033577768164,1.0004184109442886,1.0002341764070004,0.9999988951270563,1.000074113744177
9000,1.0056586517880566,1.010088197771369,1.0109380162276882,1.0353481930162973,1.0726830158968177,1.0133891770772832,1.0001992170915568,1.0000195544531287,1.0000020709818978,1.0003663890385814,1.0002175172756385,0.999982106465614,1.0000680056204059
9250,1.004721277515892,1.0085799635813153,1.0094623430471672,1.0340105543751024,1.068139005161108,1.0130380246148183,1.00027230622878,1.000015060197516,0.9999963794503217,1.0002761791809753,1.0001901911246893,0.9999788341232669,1.0000550395995962
9500,1.0042677491933438,1.0077254081021694,1.0086556594369223,1.032431616604051,1.0632528040892093,1.0105937683030886,1.0002498814598195,1.000004933095147,0.9999962665064535,1.0002843384338287,1.0001926688767562,0.9999838221319236,1.0000751360200277
9750,1.0034719641399354,1.0063896348861119,1.0071404833233115,1.031729122323817,1.0590520740830671,1.0099385727166854,1.0003139920020871,1.000004490164768,0.9999947741075824,1.0002312091357717,1.0001900506643322,0.9999852686224072,1.00008545085718
10000,1.003130433861645,1.005702923360776,1.0063147023123302,1.032281762624468,1.0578508741784887,1.0089963202780565,1.0002719942272182,0.9999963026851063,1.0000022798628923,1.0002796712636086,1.000192927308377,0.9999833401256739,1.0000999966378818
10250,1.0027723307630876,1.0052159039798143,1.0057698899996272,1.0327016867829018,1.0554424104284321,1.0089892781138443,1.0003112008782316,0.9999965074139731,1.0000037812166458,1.0002782819802454,1.0001666217092378,0.9999814929283062,1.0000769243109946
10500,1.002677126180469,1.0054761163615762,1.006134105686323,1.0313723892750843,1.0525758227767597,1.0086964742013298,1.0003292963407202,1.0000029353224102,1.000012677116879,1.0002501784514917,1.0001928784608054,0.9999812595140607,1.0000710583247707
10750,1.003075424917393,1.0057093004032864,1.0062271051686331,1.0314851365125233,1.0497762265329325,1.008110096510871,1.0003573687860274,0.999998485170666,1.0000057031602876,1.0002713673236396,1.0002100025727398,0.9999876034864793,1.0000698190359167
11000,1.003120881062896,1.005644591942206,1.006128842711877,1.030618646208405,1.044423729553153,1.0075970054810477,1.0003680847105771,0.9999885144522094,1.0000062547902466,1.0002730578205268,1.0002515914499457,0.9999900209867938,1.000064123814426
11250,1.00296242050937,1.0054833302687658,1.0059410011688084,1.0305173979197046,1.03962481771624,1.0061597472590489,1.0003400948346295,0.9999906562520481,1.0000096803571887,1.000240594176304,1.0002549893446735,0.9999902020747491,1.0000636511991643
11500,1.0031685342078502,1.0052604670796317,1.0057247974434278,1.0308653636420082,1.0385349670936415,1.005677824573095,1.000348816646482,0.9999834347765183,1.0000074207050509,1.0002548343973863,1.0002393014127602,0.9999904732921221,1.000062055907572
11750,1.0032788151961685,1.0051347709293679,1.0055234385909777,1.0303355737563915,1.0380838135304689,1.0057429724317835,1.0003541643663878,0.9999832335075874,1.0000027514881216,1.00025504884513,1.0002352516309894,0.9999890744404548,1.0000661428467599
12000,1.0034245626128906,1.004879559457951,1.0052274712740694,1.0304397050685772,1.034648492088737,1.0055870088466654,1.0003322936007855,0.9999870808708642,1.000002822302928,1.0002709318149612,1.0002624591069864,0.9999874687161562,1.000063520295456
12250,1.0038839578049,1.0041721599351134,1.0044306390574695,1.0297635713685223,1.0317315707344217,1.0050803599192168,1.000386954406194,0.9999896328735913,1.0000025812252136,1.0002700076597701,1.0002642374040422,0.999987608234263,1.0000610859305488
