iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
3500,1.0023184924328552,1.0032114428394585,1.0033330197330796,1.088891646648434,1.2843223212571067,1.0141054289799836,1.0031460035264044,1.0007087443314866,1.000250945051152,1.0001113160630366,1.0000016390979032
3750,1.002183419969273,1.0021512200142821,1.0022328591051863,1.0970778244232515,1.2361547757820568,1.0139672129597679,1.0022451245262187,1.0006976420452083,1.0002068677540732,1.0001567816196093,1.0000478763214584
4000,1.0028768648711146,1.0014545174688678,1.0013789796536032,1.089926939038524,1.183740208891787,1.014409248150006,1.0024458818563515,1.0006605592099047,1.000296643342061,1.0002708988345264,1.0001851539910211
4250,1.0021240839827723,1.0013659816086866,1.0010134945202687,1.0709419777813827,1.1346892650787896,1.020754719850087,1.0026402044729856,1.0005670509243292,1.0002471171044718,1.0002385195398351,1.0002187461312178
4500,1.0020529207810767,1.0016791975006383,1.0016303045806043,1.0612550698951853,1.1001066259637151,1.0227989193352907,1.002215645730115,1.0004361528001786,1.0001831758966309,1.0003554142030366,1.00029627043517
4750,1.0022286840854753,1.0008455298292065,1.0008730230328957,1.056390510370715,1.0794101513485346,1.0211556683392102,1.0015392540180401,1.0004012511675795,1.0001630402878052,1.0004072628640506,1.0002795342265833
5000,1.0022402139265378,1.0010438062599276,1.0010899940416764,1.059574524459846,1.0603406058942442,1.0209209837966076,1.0010760685444027,1.0004118708521814,1.0002635160161646,1.0003728534854643,1.0001883642703704
5250,1.0020801740678047,1.0012442995982438,1.0012454905850217,1.0617694071546353,1.0439448160993738,1.0196775640648692,1.0012467857970444,1.00035215279128,1.0002137709166639,1.000397952319808,1.0001354626709753
5500,1.00175093022142,1.0010009505656765,1.0011833492449225,1.0634218974121865,1.0369049336012675,1.0187310860953207,1.0010075387841408,1.0002814302158614,1.0001773119783375,1.0003283077391347,1.0001226868546906
5750,1.0018032165425947,1.001228021131598,1.0016196984312875,1.0591996593707316,1.0371302268134184,1.0184997090646557,1.0010106295454726,1.0002585006385531,1.0001606190117014,1.0004447648497368,1.0001504931977412
6000,1.0017942723313988,1.0011101884960123,1.0014381561993915,1.053160444413291,1.0390816068101671,1.0170928929781498,1.0010283524400696,1.0002440100731882,1.000152152315643,1.0004321169538273,1.0001034343153439
6250,1.0016813899707637,1.0024199399261213,1.0027597727685567,1.0470572098895627,1.042131931533079,1.015596667474139,1.0010247452718979,1.000242041329423,1.0001332215623622,1.000494706531563,1.0001579519967099
6500,1.001581032440782,1.0022797254880966,1.0025893235551186,1.045724988370121,1.0435713543884815,1.015022809879696,1.00107763423345,1.0002216063332625,1.0001178825917962,1.0004906660667416,1.0001677587864595
6750,1.0012506026226722,1.0021521357117948,1.0024560132221183,1.040322913717813,1.042697941886898,1.017078410561506,1.0010189217544754,1.0001511746530927,1.0000890821392618,1.000431158949689,1.0001187108916434
7000,1.0013144584535303,1.0019952390432267,1.0022241323338863,1.0394052324748988,1.0417338357009016,1.0157608881764093,1.0012313246093494,1.0001698850197303,1.0001226915521317,1.0004005625402304,1.0000787211257482
7250,1.001271063780807,1.0020764176496535,1.0022654360104495,1.0404983458586414,1.0421373794570918,1.0140763953887357,1.0012602893219085,1.0001585937573017,1.00011689230576,1.0004038787475644,1.0000765993598169
7500,1.0011909270864112,1.0023838897675184,1.002532884096345,1.0394690251178458,1.0408630626434863,1.0143657128533043,1.001065913880302,1.0001710595087818,1.000143223823867,1.000360293564032,1.0000837509727452
7750,1.0011977686549867,1.0024420969671908,1.0026298914143819,1.0396692607004803,1.0378225931878058,1.0128425825576879,1.0010794426482719,1.0001383017736005,1.0001372788760077,1.0003820078901549,1.0000721679483786
8000,1.0009600779864702,1.0026414172300397,1.0028220017621086,1.0392762571300527,1.0374803206010994,1.0118372023996585,1.0008046636924044,1.0001225390694675,1.0001217631561798,1.0003330262266563,1.000063032552797
8250,1.0009328109183562,1.0024062005115966,1.002518745583183,1.0382000419794912,1.0392414459015773,1.010299198735399,1.0005836957338914,1.0001080648510896,1.0000937141499056,1.000361697959198,1.0000887599089832
