iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
7000,1.0007345674634753,1.0042333467485471,1.004444448891631,1.0216703432812009,1.0256984560909357,1.0078316469944097,1.0012938380936665,1.0001727413108927,1.0000566034999117,1.0002196542653876,1.000060450527782
7250,1.0007509681803248,1.0044331205887562,1.0045692480509074,1.01595756893523,1.0206686006268186,1.0082982547026222,1.0009740196171621,1.0002026084709417,1.0000840646126015,1.0002383673065034,1.000064955109482
7500,1.0006863204198522,1.0041990019264677,1.004307917883919,1.0128531310398994,1.0158862337888501,1.0073387700385548,1.0008407740733796,1.000169366883791,1.0000842920974424,1.000224785822316,1.0000695310163588
7750,1.0005424339464668,1.004192511574463,1.0042806970256088,1.0115070248028957,1.0129511346344242,1.006447145543868,1.000793308993897,1.0002053456070152,1.0000875529987419,1.0001784940243679,1.000067092925706
8000,1.0005565937635168,1.0044269611449257,1.004521880435047,1.0115568509951163,1.0130491981245706,1.0063184213877299,1.0009088321940383,1.0001935271256186,1.0000803119148853,1.0001549630982909,1.0000513248475233
8250,1.0005040467557713,1.0041995022935526,1.0043567500323298,1.0123053216779736,1.0128834343322448,1.0068573130411032,1.0009565540872336,1.0001788872035065,1.0000830304129238,1.0001587729909642,1.0000470297840252
8500,1.000537303192513,1.0042234613522723,1.0045078359458723,1.0124974323681544,1.0135670055723993,1.007721260636484,1.000998704686403,1.0001632426651288,1.0000869677564646,1.0001648869892135,1.0000821669792683
8750,1.0004674117563601,1.0044880920423949,1.0047501822062572,1.0110667434392353,1.0123140441349612,1.0082489201102334,1.0010281243255215,1.0001357373145203,1.0000846358111815,1.0001562749884225,1.00007530820813
9000,1.0004434449763842,1.0050759614178264,1.005309400191556,1.0107412152471362,1.0125650111041444,1.006872239947438,1.001043992099441,1.0001266959463673,1.0001109985741703,1.0001536537779383,1.0000632388843969
9250,1.0003912539697766,1.0044061239718318,1.004578765018902,1.0095813963329874,1.0114175446571483,1.0064209374145945,1.0009572417267028,1.00011152390727,1.0000968059742232,1.0001628597239582,1.000057782346279
9500,1.0003082333189037,1.0048079107130108,1.004993523444127,1.0101038655012664,1.01060720798262,1.0059677156806208,1.0011033879707065,1.0001165518648965,1.0000962801397377,1.0001277667454946,1.0000299826158179
9750,1.0002145970131435,1.005182222475513,1.0053846469743846,1.0101510991175422,1.008921751253002,1.0052481348330058,1.0009874538624024,1.0001498921290535,1.0000867006882181,1.0001145945774736,1.0000255298536367
10000,1.0001614445759666,1.005776827811862,1.0059685836989911,1.00985272249865,1.0080277145691854,1.0052686656413092,1.0011060452244007,1.0001494268112,1.0000659285172984,1.0001248137270065,1.000024885448907
10250,1.00013326648191,1.0049254486729045,1.0050551556631742,1.0092964248815852,1.0077217947722477,1.005231119403653,1.0011032126498605,1.0001439976265172,1.0000463483650601,1.000105678226144,1.000013841068062
10500,1.0001200000936583,1.004980984558675,1.0051626144677035,1.0098998763692548,1.0077262102491655,1.0051347969642477,1.0010837698110866,1.0001375569346402,1.0000621622375092,1.0001060340725192,1.000029442724063
10750,1.0001445263732502,1.004212928878428,1.004360367836039,1.0106830516667007,1.0086081265513869,1.0051591240638067,1.0010744846626625,1.0001540014053774,1.0000750436737516,1.0001009659125855,1.0000209629278702
11000,1.0001098839817912,1.0040499951425423,1.004188458659462,1.0102004870269383,1.009644629873615,1.0052256177958945,1.0010406424215186,1.0001421527869794,1.0000766215604275,1.0001014452090586,1.000017838067792
11250,1.0000699896853407,1.0041273983326875,1.004254409688227,1.009808149754561,1.01093114090367,1.005222663263039,1.0011513009213535,1.0001033225136196,1.0000570353860216,1.0001004924078494,1.0000303640317665
