iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
8750,1.0039059974447253,1.004425447237084,1.004283241831237,1.0308919006213872,1.0827664984922483,1.0063626057814017,1.000732579458955,1.0004652557817997,1.0008431045487636,1.0006329368549383,1.0003153676229486,1.0007527789377244,1.0003937545942865,1.0005695349936197
9000,1.0039481537695103,1.003960054288468,1.0038670058782582,1.0313737457661334,1.08133465941193,1.006058846807822,1.000775627509521,1.0005576653049713,1.0008874846337363,1.0007069516574756,1.0003387678755884,1.0007571927804364,1.0003741273984577,1.0006832598965976
9250,1.0039467184411943,1.0034891471617142,1.0032728267268973,1.033614335316796,1.078733966253471,1.0070251398760646,1.0006410784791788,1.0005886165903635,1.0009124159677347,1.0007966987359973,1.0003754918994991,1.0007479472573895,1.0004453703352485,1.0007171851540837
9500,1.0036057417890079,1.0029731338373182,1.0027914092852144,1.0332273801931693,1.076670859662105,1.009600453074021,1.0007536104167691,1.0005049642606771,1.0008442355178577,1.0007095974860722,1.0004171331190976,1.0007485769687545,1.000472827111957,1.0007592449034688
9750,1.0030877519704302,1.0029364747707612,1.0028087612204868,1.0301100133119785,1.0755430929878642,1.0154157965568604,1.0006470326089854,1.0003504915106178,1.0007832647766448,1.000603465144737,1.0004025188424006,1.0007156215528354,1.000417107286314,1.0006723748657411
10000,1.0030133878588425,1.002874122720409,1.0026891682868937,1.029456314512407,1.076024430609531,1.0190646757102717,1.0007721155392373,1.000366905542775,1.000787975967223,1.0007019126247858,1.0004234291877108,1.000669554631724,1.0003753784790816,1.0006989521714822
10250,1.0023851715575105,1.0026666561200268,1.0024876027321212,1.0299738665114113,1.0730646503183563,1.0177742442212725,1.0007861933155244,1.0003376828072847,1.0008017498596617,1.0005927721710468,1.0004207323353156,1.0005988188235253,1.0003750219610097,1.0006868603349075
10500,1.0024605795693824,1.0027305686339256,1.0025047636951006,1.0327991726419659,1.0730691493917224,1.017553474575346,1.0007748133923684,1.000295364333763,1.000879359920306,1.000592961601768,1.0003991722576544,1.0006748787307524,1.0004232033452771,1.00064972429774
10750,1.0026222807184917,1.0032834834354432,1.0031416600582175,1.035642479549279,1.075013643756108,1.015565523383938,1.0009760190627732,1.000360286024502,1.0008219610894764,1.0006498065081044,1.0004640718937323,1.0006295713936855,1.000476149548311,1.0007101082158891
11000,1.0027527354561054,1.0042636973631665,1.0040999466253018,1.033877929623122,1.0781164103645546,1.014349629173345,1.0008724215538802,1.000472445911251,1.0008673070733904,1.0007377957798116,1.000492589476863,1.0006346665314378,1.0004215724858991,1.0006962354893763
11250,1.0028133811654174,1.0047572900500081,1.0045839519506337,1.0324335310336028,1.0786754020870573,1.0135178040348318,1.000930922770516,1.0005237141039405,1.0008800855200906,1.0007583159326399,1.0004709653024992,1.0007013118415051,1.0004866343563272,1.0006765919297935
11500,1.0026840351910866,1.0044687355641293,1.004284197620973,1.0334660345631064,1.0767699134865911,1.013727406148778,1.0008722083331552,1.0005142837914824,1.000751091354718,1.0007256501628203,1.0003880438994548,1.000679722637146,1.0005588730788648,1.0006965170731565
11750,1.0022798035363885,1.0041792114602939,1.0040642185834296,1.0342348940757529,1.0738324308675895,1.0129416501533064,1.0008939862370512,1.000409374339206,1.0006378407490277,1.0006629628186066,1.0003668313560639,1.0006284505195384,1.000535022963181,1.0007126530074926
12000,1.0022250169337783,1.0043623209191694,1.0042780547034784,1.0349782674761472,1.0727497038254392,1.0126528860066084,1.0010179770256435,1.000435732757072,1.000596451456826,1.0007577070569769,1.0003569410053963,1.0005956208398443,1.0004874324938327,1.0007145567486362
12250,1.002300828043448,1.0044919978373605,1.0044321594868575,1.035356201305976,1.0698411200262263,1.0122934609580663,1.0009796204668169,1.000444678469793,1.0005953374149086,1.0007878060769153,1.0002954184852957,1.0006097163615912,1.0004303111586639,1.0006335050798398
12500,1.0021352722441295,1.00418966866513,1.0040925288917033,1.0350890710495295,1.0671921272930769,1.0117584474175094,1.0011750959592114,1.0004762959330311,1.0005465923696815,1.000736803062105,1.0002483061261005,1.0005345773340144,1.000429692821554,1.0005336481220157
12750,1.0018646990489208,1.0039250294355444,1.003896031852085,1.0346844305562042,1.0647718708628413,1.0122744251440208,1.0011501274537504,1.0005115696215117,1.000479428584063,1.0007404695564632,1.0003126569763139,1.0005048152316849,1.0004903110208776,1.0006436027879435
13000,1.0021312577255301,1.0039023688676303,1.003860691138395,1.033656023496794,1.0631529970136468,1.0132568817666503,1.0011783116831912,1.0006111670673432,1.0005137318671995,1.0007558485672705,1.0003136277508757,1.0005019398386474,1.0004772687762393,1.0006712217299187
13250,1.0019718819925068,1.003998347374042,1.003988397011766,1.0336274085728336,1.059936174160144,1.013166107028639,1.0011886086271735,1.0006574561165162,1.0005513792585576,1.0007357960834957,1.000272260125766,1.0004607637643042,1.0004088953695567,1.0005773114671985
13500,1.0021860173160837,1.0043870692472003,1.0043552747768318,1.0329595589694633,1.0552471057133594,1.012540928434425,1.0010960579970387,1.0006684249230786,1.0006107997071716,1.0007562236452952,1.000282586950273,1.0004690013398885,1.000455078017614,1.0005878593678454
13750,1.0020894479140778,1.0042426224763694,1.0042394834561352,1.0342098283012404,1.0498741921243355,1.0123929987068627,1.0012186358370379,1.0006230340338278,1.0005820154661198,1.0007420468289474,1.0002262086155527,1.0004468235146418,1.0004384151473424,1.0004951983306019
14000,1.001701789920563,1.0038717493726774,1.0038638249626133,1.0354959745219756,1.04716197535012,1.0134761501268497,1.0011133173376277,1.0005903140190813,1.000543853285644,1.000625456199879,1.000222599379573,1.0003995704273574,1.0004272647938894,1.000493870978567
14250,1.001616209413122,1.0037463892769718,1.0037783931599227,1.0347623146859088,1.0462466677380724,1.012910822825157,1.001046708780161,1.0005668407545683,1.000549817929172,1.0005548416827463,1.0002302312321347,1.0003604644206032,1.0004089845654804,1.0004848490512959
14500,1.0013919303626453,1.0031499207301162,1.003172285103371,1.0332803033454843,1.0458308653864283,1.012681122065709,1.0010729342891895,1.0005472952641241,1.000491039131808,1.0005551643044779,1.0002783796247245,1.0003016746585567,1.0004174460822428,1.000505860469294
14750,1.0013845724386443,1.003030279644342,1.0030614197123875,1.030063414069704,1.0470059530349654,1.0123825743625279,1.0010190783417066,1.000543132396995,1.0005218455298295,1.0005844074209893,1.0002844972216802,1.0002802421369401,1.000374298949928,1.0004581066709852
15000,1.001360999748943,1.0026922903159405,1.0027200841589208,1.027700056442092,1.0476436511988119,1.0121468159999913,1.0010059494124401,1.0005093171541444,1.0005310541793866,1.0005648411430876,1.0003114516963258,1.0002677589453315,1.0003856598818763,1.0004992817585743
15250,1.0015024350912134,1.0031437371543896,1.0032184346632762,1.0255733463199284,1.04757050441849,1.0118278009800548,1.0010057374296768,1.0005635153282526,1.000522763920736,1.0005646873640086,1.000307722912951,1.000281510244844,1.0003603150901021,1.0004882302072173
15500,1.0013691190303329,1.0034156386018325,1.0035198547928554,1.0242388020398607,1.0480707447178683,1.0114058827577348,1.001021357178923,1.0005189618686636,1.0005044106689784,1.0005116428670906,1.00029718919944,1.0002655974033934,1.0003605513449678,1.0004662361895658
15750,1.0012307276138006,1.0031222108581592,1.0032662752715444,1.0241033296916482,1.0502753412339683,1.01096773416367,1.0010300283915614,1.0005070997274153,1.0004954918266995,1.000468692742292,1.0002961040219138,1.0002358684815313,1.0003424574188837,1.0004578993315312
16000,1.0011563604565274,1.0019520270187046,1.0021068893167662,1.0243296998855258,1.0519550428302384,1.0105395586816028,1.0009708003849316,1.0005469483381455,1.0005428393055982,1.0004269069881304,1.0002817939281066,1.0002353011599165,1.0002996743843633,1.0004273271073492
